度假,度假,dù jià,to go on vacation,,
对来说,對來說,duì … lái shuō,as for; with regard to,,
着,著,zhe,aspect particle showing ongoing state,,
了,了,le,aspect particle showing completion or change,,
过,過,guò,aspect particle showing past experience,,
我吃了早饭,我吃了早飯,wǒ chī le zǎo fàn,I ate breakfast,,
我去过中国,我去過中國,wǒ qù guò Zhōngguó,I have been to China,,
我们坐着工作,我們坐著工作,wǒ men zuò zhe gōng zuò,We work while sitting,,
着,著,V1 zhe V2,do V2 while doing V1,,
他听着音乐看书,他聽著音樂看書,tā tīng zhe yīn yuè kàn shū,He reads while listening to music,,
把,把,bǎ,disposal marker,,
被,被,bèi,passive marker,,
我把水喝了,我把水喝了,wǒ bǎ shuǐ hē le,I drank the water,,
水被我喝了,水被我喝了,shuǐ bèi wǒ hē le,The water was drunk by me,,
伤心,傷心,shāng xīn,sad,,
受伤了,受傷了,shòu shāng le,got injured,,
重要,重要,zhòng yào,important,,
病得很重,病得很重,bìng de hěn zhòng,seriously ill,,
手臂,手臂,shǒu bì,arm,,
大腿,大腿,dà tuǐ,thigh,,
小腿,小腿,xiǎo tuǐ,lower leg; calf,,
流行,流行,liú xíng,popular,,
电动车,電動車,diàn dòng chē,electric vehicle,,
买不起,買不起,mǎi bù qǐ,cannot afford,,
二手车,二手車,è r shǒu chē,used car,,
等着,等著,děng zhe,waiting,,
糟糕,糟糕,zāo gāo,terrible,,
