着,著,zhe,continuous aspect particle,说着,
送,送,sòng,to see off; to take (someone),送我回家,
被,被,bèi,by; passive marker,被问,
撞,撞,zhuàng,to hit; collide,被车撞,
伤,傷,shāng,to hurt; to wound,被撞伤,
第,第,dì,ordinal prefix,第一,
检查,檢查,jiǎnchá,to examine; to check,检查身体,
检,檢,jiǎn,to inspect,,"sub-word of ""to examine; to check"""
查,查,chá,to check; to search,,"sub-word of ""to examine; to check"""
重,重,zhòng,heavy; serious,伤重,
完,完,wán,to finish; to run out,看完电影,
马上,馬上,mǎshàng,immediately; right away,马上就来,
马,馬,mǎ,horse,,"sub-word of ""immediately; right away"""
上,上,shàng,up; on; to go up,,"sub-word of ""immediately; right away"""
胳膊,胳膊,gēbo,arm,胳膊被撞伤,
胳,胳,gē,"arm, colloquial form",,"sub-word of ""arm"""
膊,膊,bó,upper arm,,"sub-word of ""arm"""
腿,腿,tuǐ,leg,撞伤腿,
骑,騎,qí,to ride,骑马,
自行车,自行車,zìxíngchē,bicycle,骑自行车,
自,自,zì,self,,"sub-word of ""bicycle"""
行,行,xíng; háng,be OK or all right; profession or trade,,"sub-word of ""bicycle"""
车,車,chē,vehicle; car,,"sub-word of ""bicycle"""
自行,自行,zìxíng,by oneself; of one’s own accord,,"sub-word of ""bicycle"""
行车,行車,xíngchē,to drive; traffic,,"sub-word of ""bicycle"""
笑,笑,xiào,to laugh; to smile,笑着,
注意,注意,zhùyì,to pay attention,没有注意,
注,注,zhù,to focus; to note,,"sub-word of ""to pay attention"""
意,意,yì,meaning; intention,,"sub-word of ""to pay attention"""
停,停,tíng,to stop; to park,停在路旁边,
医药费,醫藥費,yīyàofèi,medical expenses,交医药费,
医,醫,yī,medical; doctor,,"sub-word of ""medical expenses"""
药,藥,yào,medicine or drug; to medicate,,"sub-word of ""medical expenses"""
费,費,fèi,fee; expense,,"sub-word of ""medical expenses"""
医药,醫藥,yīyào,medicine; medical drugs,,"sub-word of ""medical expenses"""
药费,藥費,yàofèi,medicine expenses,,"sub-word of ""medical expenses"""
以为,以為,yǐwéi,to think; to assume,我以为,
以,以,yǐ,to use; by means of,,"sub-word of ""to think; to assume"""
为,為,wéi,to be; to act as; for,,"sub-word of ""to think; to assume"""
如果,如果,rúguǒ,if,None,
如,如,rú,as; like,,"sub-word of ""if"""
果,果,guǒ,fruit; result,,"sub-word of ""if"""
